unicode,codepoint,latex,compose,description
Κ,U039A,\Kappa,<Multi_key> <asterisk> <K>,greek capital letter kappa
Λ,U039B,\Lambda,<Multi_key> <asterisk> <L>,greek capital letter lambda
Μ,U039C,\Mu,<Multi_key> <asterisk> <M>,greek capital letter mu
Ν,U039D,\Nu,<Multi_key> <asterisk> <N>,greek capital letter nu
Ο,U039F,\Omicron,<Multi_key> <asterisk> <O>,greek capital letter omicron
Π,U03A0,\Pi,<Multi_key> <asterisk> <P>,greek capital letter pi
Ρ,U03A1,\Rho,<Multi_key> <asterisk> <R>,greek capital letter rho
Σ,U03A3,\Sigma,<Multi_key> <asterisk> <S>,greek capital letter sigma
Τ,U03A4,\Tau,<Multi_key> <asterisk> <T>,greek capital letter tau
Θ,U0398,\Theta,<Multi_key> <asterisk> <U>,greek capital letter theta
Ω,U03A9,\Omega,<Multi_key> <asterisk> <W>,greek capital letter omega
Χ,U03A7,\Chi,<Multi_key> <asterisk> <X>,greek capital letter chi
Υ,U03A5,\Upsilon,<Multi_key> <asterisk> <Y>,greek capital letter upsilon
Ζ,U0396,\Zeta,<Multi_key> <asterisk> <Z>,greek capital letter zeta
α,U03B1,\alpha,<Multi_key> <asterisk> <a>,greek small letter alpha
β,U03B2,\beta,<Multi_key> <asterisk> <b>,greek small letter beta
ψ,U03C8,\psi,<Multi_key> <asterisk> <c>,greek small letter psi
δ,U03B4,\delta,<Multi_key> <asterisk> <d>,greek small letter delta
ϵ,U03F5,\epsilon,,
ε,U03B5,\varepsilon,<Multi_key> <asterisk> <e>,greek small letter epsilon
ϕ,U03D5,\phi,,
φ,U03C6,\varphi,<Multi_key> <asterisk> <f>,greek small letter phi
γ,U03B3,\gamma,<Multi_key> <asterisk> <g>,greek small letter gamma
η,U03B7,\eta,<Multi_key> <asterisk> <h>,greek small letter eta
ι,U03B9,\iota,<Multi_key> <asterisk> <i>,greek small letter iota
ξ,U03BE,\xi,<Multi_key> <asterisk> <j>,greek small letter xi
κ,U03BA,\kappa,<Multi_key> <asterisk> <k>,greek small letter kappa
λ,U03BB,\lambda,<Multi_key> <asterisk> <l>,greek small letter lambda
μ,U03BC,\mu,<Multi_key> <asterisk> <m>,greek small letter mu
ν,U03BD,\nu,<Multi_key> <asterisk> <n>,greek small letter nu
ο,U03BF,\omicron,<Multi_key> <asterisk> <o>,greek small letter omicron
π,U03C0,\pi,<Multi_key> <asterisk> <p>,greek small letter pi
ρ,U03C1,\rho,<Multi_key> <asterisk> <r>,greek small letter rho
σ,U03C3,\sigma,<Multi_key> <asterisk> <s>,greek small letter sigma
τ,U03C4,\tau,<Multi_key> <asterisk> <t>,greek small letter tau
θ,U03B8,\theta,<Multi_key> <asterisk> <u>,greek small letter theta
ω,U03C9,\omega,<Multi_key> <asterisk> <w>,greek small letter omega
υ,U03C5,\upsilon,<Multi_key> <asterisk> <y>,greek small letter upsilon
ς,U03C2,\varsigma,,greek small letter final sigma
χ,U03C7,\chi,<Multi_key> <asterisk> <x>,greek small letter chi
υ,U03C5,\upsilon,<Multi_key> <asterisk> <y>,greek small letter upsilon
ζ,U03B6,\zeta,<Multi_key> <asterisk> <z>,greek small letter zeta
